,,Do not make changes to the yellow columns. Changes should only be made in the final four columns shaded blue >>>>>>,,,,,,,,,,,,,,,Use these four columns to propose amendments,,,
Research,BIOL700,Research Frontiers in Biology,4,,AdvancedUnderGrad,Admission to MRes,,"CBMS700, COMP700, ENVG700, ENVS700, FOAR700, FOBE710, FOHS700, GEOS700, MATH700, MEDI711, MEDI712, PHYS700, STAT700",S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL701,Research Topic in Biology 1,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day
S3 Day","

",Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL702,Research Topic in Biology 2,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day
S3 Day","

",Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL706,Advanced Studies in Neuroethology,4,,AdvancedUnderGrad,Admission to MRes,,,TBD,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL711,Topics in Evolution,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL760,Biology in the 21st Century,4,,AdvancedUnderGrad,Admission to MRes,,BIOL860,S2 Day,,Department of Biological Sciences,No,"BIOL860, ",none,no quota,No,,,,
Research,BIOL761,Conservation and Management of Wild Populations,4,,AdvancedUnderGrad,Admission to MRes,,BIOL861,"S1 Day
S1 External","
",Department of Biological Sciences,No,"BIOL861, ",none,no quota,No,"On Campus Attendance

",none,none,
Research,BIOL766,Advanced Studies in Palaeobiology,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL773,Marine Conservation and Management,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL787,Regional and Global Conservation,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL865, BIOL887","S2 Day
S2 External","
",Department of Biological Sciences,No,"BIOL887, ",none,no quota,No,"On Campus Attendance

",compulsory,,
Research,BIOL799,Advanced Research Topics in Biology,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,BIOL899,Master of Research - Biology,32,,Research,,,,"S1 Day
S2 Day","
",Department of Biological Sciences,No,none,none,no quota,No,,,,
Research,CBMS700,Research Frontiers in Chemistry and Biomolecular Sciences,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL700, COMP700, ENVG700, ENVS700, FOAR700, FOBE710, FOHS700, GEOS700, MATH700, MEDI711, MEDI712, PHYS700, STAT700",S1 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS701,Selected Topics in Molecular Sciences 1,4,,AdvancedUnderGrad,Admission to MRes,,"CBMS703, CBMS704, CBMS706, CBMS708, CBMS736, CBMS737
","S1 Day
S2 Day","
",Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS702,Selected Topics in Molecular Sciences 2,4,,AdvancedUnderGrad,Admission to MRes,,"CBMS703, CBMS704, CBMS706, CBMS708, CBMS736, CBMS737","S1 Day
S2 Day","
",Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS731,Molecular and Medical Biotechnology,4,,AdvancedUnderGrad,Admission to MRes,,CBMS880,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS880, CBMS331, ",none,no quota,No,,,,
Research,CBMS732,Protein Discovery and Analysis,4,,AdvancedUnderGrad,Admission to MRes,,CBMS832,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS832, CBMS332, ",none,no quota,No,,,,
Research,CBMS733,Functional Proteomics,4,,AdvancedUnderGrad,Admission to MRes,,CBMS833,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS833, ",none,no quota,No,,,,
Research,CBMS760,Analytical Measurement Uncertainty and Method Validation,4,,AdvancedUnderGrad,Admission to MRes,,CBMS860,S1 Evening,,Department of Chemistry and Biomolecular Sciences,No,"CBMS860, ",none,no quota,No,,,,
Research,CBMS761,Laboratory Quality Systems,4,,AdvancedUnderGrad,Admission to MRes,,CBMS861,S2 Evening,,Department of Chemistry and Biomolecular Sciences,No,"CBMS861, ",none,no quota,No,,,,
Research,CBMS780,The Research Experience,4,,AdvancedUnderGrad,Admission to MRes and 16cp at 700 level,,,"S1 Day
S2 Day","
",Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS785,Laboratory Skills for Molecular Science Research,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS791,Research Topic: Advanced Organic Chemistry,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS792,Research Topic: Chemical Biology,4,,AdvancedUnderGrad,Admission to MRes,,,"S2 Day
S2 Evening","
",Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS793,Research Topic: Advanced Biomolecular Analysis,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS794,Research Topic: Synthetic Biology,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS797,Research Topic: Advanced Physical and Analytical Chemistry,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CBMS899,Master of Research - Chemistry and Biomolecular Science,32,,Research,,,,"S1 Day
S2 Day","
",Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Research,CHDR899,Master of Research - Chiropractic,32,,Research,,,,"S1 Day
S2 Day","
",Department of Chiropractic,No,none,none,no quota,No,,,,
Research,COMP700,Research Frontiers in Computing 1,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL700, CBMS700, ENVG700, ENVS700, FOAR700, FOBE710, FOHS700, GEOS700, MATH700, MEDI711, MEDI712, PHYS700, STAT700 ","S1 Day
S2 Day","
",Department of Computing,No,none,none,no quota,No,"When Offered

",S1 Day,Better fits pattern of offerings in Computing and also matches other departments.,Mark Dras (Computing)
Research,COMP702,Object-Oriented Technology,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Research,COMP703,Computer Networks,4,,AdvancedUnderGrad,Admission to MRes,,ITEC803,S1 Evening,,Department of Computing,No,"ITEC803, ",none,no quota,No,,,,
Research,COMP731,Web Applications,4,,AdvancedUnderGrad,Admission to MRes,,ITEC831,TBD,,Department of Computing,No,none,none,no quota,No,"Name, NCCW, When Offered, Co-taught units","Web Data Technologies
ITEC830, ITEC831
S2 Day, ITEC830",Unit will be co-taught with ITEC830 instead of the discontinued ITEC831,
Research,COMP733,Web Services,4,,AdvancedUnderGrad,Admission to MRes,,ITEC833,TBD,,Department of Computing,No,none,none,no quota,No,"Name, NCCW, When Offered, Co-taught units","Big Data Technologies
COMP874, ITEC833
S2 Day, ITEC874",Unit will be co-taught with new unit from the Master of Data Science,
Research,COMP752,Network and Systems Security,4,,AdvancedUnderGrad,Admission to MRes,,ITEC852,S2 Evening,,Department of Computing,No,"ITEC852, ",none,no quota,No,,,,
Research,COMP771,Information Systems Design and Management,4,,AdvancedUnderGrad,Admission to MRes,,ITEC871,S2 Evening,,Department of Computing,No,"ITEC871, ",none,no quota,No,,,,
Research,COMP777,Computing Methods for Research,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Computing,No,none,none,no quota,No,,,,
Research,COMP781,Advanced Algorithms,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Computing,No,none,none,no quota,No,,,,
Research,COMP782,Advanced Topics in Theory and Practice of Software,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Computing,No,none,none,no quota,No,,,,
Research,COMP783,Data Science and Machine Learning,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Computing,No,none,none,no quota,No,,,,
Research,COMP791,Research Topic in Computing 1,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Computing,No,none,none,no quota,No,,,,
Research,COMP792,Research Topic in Computing 2,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Computing,No,none,none,no quota,No,,,,
Research,COMP793,Research Topic in Computing 3,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Computing,No,none,none,no quota,No,,,,
Research,COMP794,Research Topic in Computing 4,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Computing,No,none,none,no quota,No,,,,
Research,COMP795,Research Topic in Computing 5,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Computing,No,none,none,no quota,No,,,,
Research,COMP796,Research Topic in Computing 6,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Computing,No,none,none,no quota,No,,,,
Research,COMP899,Master of Research - Computing,32,,Research,,,,"S1 Day
S2 Day","
",Department of Computing,No,none,none,no quota,No,,,,
Research,ENGG899,Master of Research - Engineering,32,,Research,,,,"S1 Day
S2 Day","
",Department of Engineering,No,none,none,no quota,No,,,,
Research,ENVS700,Research Frontiers in Environmental Sciences,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL700, CBMS700, COMP700, ENVG700, FOAR700, FOBE710, FOHS700, GEOS700, MATH700, MEDI711, MEDI712, PHYS700, STAT700 ",S1 Day,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Research,ENVS703,Science in Environmental Management,4,,AdvancedUnderGrad,Admission to MRes,,"GSE803, ENVS803",S1 Evening,,Department of Environmental Sciences,No,ENVS803,none,no quota,No,,,,
Research,ENVS704,Climate Change and the Climate System,4,,AdvancedUnderGrad,Admission to MRes,,"CLIM804, ENVS804",S1 Day,,Department of Environmental Sciences,No,"ENVS804, ",none,no quota,No,,,,
Research,ENVS705,Air and Water Quality,4,,AdvancedUnderGrad,Admission to MRes,,"GSE805, ENVS805",S2 Evening,Compulsory field trip,Department of Environmental Sciences,No,"ENVS805, ",none,no quota,No,,,,
Research,ENVS707,Environmental Measurement and Analysis,4,,AdvancedUnderGrad,Admission to MRes,,"GSE807, ENVS807",S2 Fieldwork,,Department of Environmental Sciences,No,ENVS807,none,no quota,No,,,,
Research,ENVS708,Geographic Information Science,4,,AdvancedUnderGrad,Admission to MRes,,"ENV808, ENVE810, ENVG708, ENVS808, GEOS801, GEOS810",S1 Day,,Department of Environmental Sciences,No,ENVS808,none,no quota,No,"When Offered

","S1 Day
S1 External",,Assoc Prof Paul Beggs
Research,ENVS718,Environmental Planning,4,,AdvancedUnderGrad,Admission to MRes,,"GSE818, ENVS818",S2 Evening,Compulsory field trip,Department of Environmental Sciences,No,ENVS818,none,no quota,No,,,,
Research,ENVS753,Environmental Applications of GIS and Remote Sensing,4,,AdvancedUnderGrad,Admission to MRes and permission by special approval,,"GEOS853, ENVE853, ENVS853",S2 Day,,Department of Environmental Sciences,No,"ENVS853, ",none,no quota,No,"Prerequisite
When Offered","Admission to MRes and ENVS708

S2 Day
S2 External",,Assoc Prof Paul Beggs
Research,ENVS791,Research Topic in Environmental Sciences 1,4,,AdvancedUnderGrad,Admission to MRes,,ENVG791,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Research,ENVS792,Research Topic in Environmental Sciences 2,4,,AdvancedUnderGrad,Admission to MRes,,ENVG792,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Research,ENVS793,Research Topic in Environmental Sciences 3,4,,AdvancedUnderGrad,Admission to MRes,,ENVG793,"S1 Day
S1 Evening
S2 Day
S2 Evening","


",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Research,ENVS798,Management of Degraded Environments,4,,AdvancedUnderGrad,Admission to MRes,,"GSE808, ENVS898",S2 Evening,Compulsory field trip,Department of Environmental Sciences,No,ENVS898,none,no quota,No,,,,
Research,ENVS899,Master of Research - Environmental Sciences,32,,Research,,,,"S1 Day
S2 Day","
",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Research,EPS899,Master of Research - Earth and Planetary Science,32,,Research,,,,"S1 Day
S2 Day","
",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,GEOS700,Research Frontiers: Advances in Earth and Planetary Sciences,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL700, CBMS700, COMP700, ENVG700, ENVS700, FOAR700, FOBE710, FOHS700, MATH700, MEDI711, MEDI712, PHYS700, STAT700 ",S1 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,GEOS701,Advanced Geophysical Theory,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,GEOS702,Thermodynamics of Earth Processes,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,GEOS704,Readings in Geoscience,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day","
",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,GEOS705,Research Methods in Earth and Planetary Sciences,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,GEOS706,Advanced Field Techniques,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 External
WV External
S2 Day
S2 External
FY1 Day
FY1 External","Compulsory field trip
Compulsory field trip
Compulsory field trip
Compulsory field trip
Compulsory field trip
Compulsory field trip",Department of Earth and Planetary Sciences,No,none,none,no quota,No,"When Offered

","S1Day
S1 External
WV External
S2 Day
S2 External
FY1 Day
FY1 External",,Mark Lackie
Research,GEOS707,Physio-Chemical Processes in Earth Materials,4,,AdvancedUnderGrad,Admission to MRes and GEOS207,,,S1 Day,,Department of Earth and Planetary Sciences,No,GEOS922,none,no quota,No,Prerequisite,Admission to MRes,,Mark Lackie
Research,GEOS708,Scientific Visualisation and Scripting,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,GEOS710,Records of Palaeoenvironments: Life and Geochemistry,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Earth and Planetary Sciences,No,GEOS920,none,no quota,No,,,,
Research,GEOS776,"Ages, Rates and Timescales of Geological Processes",4,,AdvancedUnderGrad,Admission to MRes,,GEOS876,S1 Day,,Department of Earth and Planetary Sciences,No,"GEOS876, ",none,no quota,No,,,,
Research,GEOS791,Research Topic in Earth and Planetary Sciences,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Research,MATH700,Research Frontiers in Mathematics,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL700, CBMS700, COMP700, ENVG700, ENVS700, FOAR700, FOBE710, FOHS700, GEOS700, MEDI711, MEDI712, PHYS700, STAT700 ",S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH701,Analysis,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH702,Algebra,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH703,Topology,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH704,Research Topics in Mathematics 1,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH705,Research Topics in Mathematics 2,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH706,Research Topics in Mathematics 3,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH707,Advanced Methods in Mathematics 1,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH708,Advanced Methods in Mathematics 2,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Mathematics,No,none,none,no quota,No,,,,
Research,MATH899,Master of Research - Mathematics,32,,Research,,,,"S1 Day
S2 Day","
",Department of Mathematics,No,none,none,no quota,No,,,,
Research,PHTN702,Advanced Photonics,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS700,Research Frontiers in Physics and Astronomy 1,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL700, CBMS700, COMP700, ENVG700, ENVS700, FOAR700, FOBE710, FOHS700, GEOS700, MATH700, MEDI711, MEDI712, STAT700 ",S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS701,Mathematical Methods in Physics,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS702,Statistical Physics,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS703,Computational Science,4,,AdvancedUnderGrad,Admission to MRes,,,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS704,Nanobiophotonics,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS714,Quantum Information and Technology,4,,AdvancedUnderGrad,Admission to MRes,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS798,Physics and Astronomy Special Topic 1,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day","
",Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS799,Physics and Astronomy Special Topic 2,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day","
",Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,PHYS899,Master of Research - Physics and Astronomy,32,,Research,,,,"S1 Day
S2 Day","
",Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Research,STAT700,Research Frontiers in Statistics,4,,AdvancedUnderGrad,Admission to MRes,,"BIOL700, CBMS700, COMP700, ENVG700, ENVS700, FOAR700, FOBE710, FOHS700, GEOS700, MATH700, MEDI711, MEDI712, PHYS700",S1 Day,,Department of Statistics,No,none,none,no quota,No,,,,
Research,STAT701,Research Topic in Statistics 1,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day","
",Department of Statistics,No,none,none,no quota,No,,,,
Research,STAT702,Research Topics in Statistics 2,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day","
",Department of Statistics,No,none,none,no quota,No,,,,
Research,STAT703,Research Topics in Statistics 3,4,,AdvancedUnderGrad,Admission to MRes,,,"S1 Day
S2 Day","
",Department of Statistics,No,none,none,no quota,No,,,,
Research,STAT704,Statistical Methods for Research,4,,AdvancedUnderGrad,Admission to MRes,,STAT604,TBD,,Department of Statistics,No,none,none,no quota,No,,,,
Research,STAT710,Statistical Theory,4,,AdvancedUnderGrad,Admission to MRes,,"STAT806, STAT810",S1 Evening,,Department of Statistics,No,"STAT810, ",none,no quota,No,,,,
Research,STAT711,Generalized Linear Models,4,,AdvancedUnderGrad,Admission to MRes,STAT710,"STAT411, STAT811",S2 Evening,,Department of Statistics,No,"STAT411, STAT811, ",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Research,STAT714,Statistical Design,4,,AdvancedUnderGrad,Admission to MRes,,STAT814,S1 Day,,Department of Statistics,No,"STAT373, STAT814, ",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Research,STAT718,Epidemiological Methods,4,,AdvancedUnderGrad,Admission to MRes,,STAT818,S2 Day,,Department of Statistics,No,"STAT395, STAT818, ",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Research,STAT721,Multivariate Analysis,4,,AdvancedUnderGrad,Admission to MRes,STAT710,STAT821,S2 Evening,,Department of Statistics,No,"STAT821, ",none,no quota,No,,,,
Research,STAT722,Time Series,4,,AdvancedUnderGrad,Admission to MRes,STAT710,STAT822,,,Department of Statistics,No,"STAT822, ",none,no quota,No,"When Offered

",S2 Day,"TBD in ""When Offered"" field has been deleted",Georgy Sofronov
Research,STAT723,Statistical Graphics,4,,AdvancedUnderGrad,Admission to MRes,,STAT823,S1 Day,,Department of Statistics,No,"STAT823, ",none,no quota,No,,,,
Research,STAT726,Market Research and Forecasting,4,,AdvancedUnderGrad,Admission to MRes,,STAT826,S2 Day,,Department of Statistics,No,"STAT328, STAT826, ",none,no quota,No,Co-taught units,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Research,STAT727,Survival Analysis,4,,AdvancedUnderGrad,Admission to MRes,STAT710,STAT827,S1 External,None,Department of Statistics,No,"STAT827, ",none,no quota,No,,,,
Research,STAT728,Data Mining,4,,AdvancedUnderGrad,Admission to MRes,,"STAT820, STAT828",S1 Evening,,Department of Statistics,No,"STAT828, ",none,no quota,No,,,,
Research,STAT730,Statistical Methods in Bioinformatics,4,,AdvancedUnderGrad,Admission to MRes,,STAT830,S1 Day,,Department of Statistics,No,STAT830,none,no quota,No,,,,
Research,STAT778,Modern Computational Statistical Methods,4,,AdvancedUnderGrad,Admission to MRes,STAT710,STAT878,S1 Evening,,Department of Statistics,No,"STAT878, ",none,no quota,No,,,,
Research,STAT790,Stochastic Finance,4,,AdvancedUnderGrad,Admission to MRes,,"STAT401, STAT402, STAT890",S2 Evening,,Department of Statistics,No,"STAT402, STAT890, ",none,no quota,No,Co-taught units; when offered,TBD,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made. Numbers for STAT790 are very small and the staff member who usually teaches this will be on OSP in S2.,Petra Graham
Research,STAT899,Master of Research - Statistics,32,,Research,,,,"S1 Day
S2 Day","
",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA801,Epidemiology,4,Science,Postgraduate,Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat or MActPrac,,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA802,Mathematical Background for Biostatistics,4,Science,Postgraduate,Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat,,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA803,Health Indicators and Health Surveys,4,Science,Postgraduate,Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat or (STAT670 and admission to MAppStat or GradDipAppStat),BCA802 or MATH604,,S1 External,None,Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA804,Data Management and Statistical Computing,4,Science,Postgraduate,Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat or MActPrac,,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA805,Principles of Statistical Inference,4,Science,Postgraduate,BCA802 and BCA817,,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA806,Clinical Biostatistics,4,Science,Postgraduate,((Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat) and BCA801 and BCA805 and BCA807) or ((admission to MAppStat or GradDipAppStat) and MATH604 and STAT818 and STAT810 and STAT814),BCA808 or (STAT811 and admission to MAppStat or GradDipAppStat),,S1 External,None,Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA807,Design of Randomised Controlled Trials,4,Science,Postgraduate,BCA801 and BCA802,,,S2 External,None,Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA808,Linear Models,4,Science,Postgraduate,((Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat) and BCA801 and BCA817) or ((admission to MAppStat or GradDipAppStat) and MATH604 and STAT818 and STAT683) or (admission to MActPrac and (STAT810 or STAT806)),(Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat and BCA805) or (admission to MAppStat or GradDipAppStat and STAT810),,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,Prerequisite,((Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat) and BCA801 and BCA817) or (admission to MActPrac and (STAT810 or STAT806)),,Gillian Heller
Postgraduate,BCA808,Linear Models,,,,,,,,,,,,,,,Corequisite,((Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat) and BCA805) or admission to MActPrac ,(Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat) and BCA806,Gillian Heller
Postgraduate,BCA809,Categorical Data and Generalised Linear Models,4,Science,Postgraduate,(BCA801 and BCA805) or STAT806 or STAT810,(Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat and BCA808) or (admission to MAppStat or GradDipAppStat or MSc or MActPrac),STAT811,S2 External,None,Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA810,Bioinformatics,4,Science,Postgraduate,((Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat) and BCA805 and BCA804 and BCA808) or ((admission to MAppStat or GradDipAppStat) and MATH604 and STAT810 and (BCA808 or STAT811)),,STAT817,S2 External,None,Department of Statistics,No,none,none,no quota,No,"When Offered

",2019,,Gillian Heller
Postgraduate,BCA810,Bioinformatics,,,,,,,,,,,,,,,Prerequisite,((Admission to MBioStat or PGDipBioStat or PGCertBioStat or GradDipBioStat or GradCertBioStat) and BCA805 and BCA804 and BCA808) or ((admission to MAppStat or GradDipAppStat) and MATH604 and STAT810(Cr) and (BCA808 or STAT811)),,Gillian Heller
Postgraduate,BCA811,Longitudinal and Correlated Data,4,Science,Postgraduate,[BCA808 and BCA809] or [((STAT271 and STAT272) or STAT371 or STAT806 or STAT810) and (STAT411 or STAT811)],,,S1 External,None,Department of Statistics,No,none,none,no quota,No,Prerequisite,[BCA808 and BCA809] or [((STAT271 and STAT272) or STAT371 or STAT306 or STAT806 or STAT810(Cr)) and (STAT411 or STAT811)],,Gillian Heller
